Linea;registros;mae;rmse;r2;demanda_media_real;demanda_media_predicha
116;31;476.68;682.85;0.9353;6610.77;6520.61
102;31;466.84;605.43;0.9721;10708.06;10480.26
148;31;464.06;557.41;0.8684;7415.68;7612.26
66;31;463.1;577.37;0.9318;7368.45;7363.1
16;31;461.58;686.16;0.9383;5785.45;5762.45
106;31;456.52;623.67;0.926;6815.35;6813.61
144;31;456.13;588.18;0.97;8180.48;8144.68
37;31;449.97;596.56;0.9029;5092.32;5292.74
114;31;435.16;771.33;0.9385;5175.26;5017.65
140;31;425.9;617.18;0.9579;7682.97;7583.65
83;31;424.16;558.73;0.956;6840.48;6862.52
57;31;420.52;583.32;0.9381;7160.84;7157.55
74;31;415.61;501.74;0.6266;3671.61;3819.1
126;31;412.45;496.08;0.9407;6152.52;6273.87
8;31;410.42;573.47;0.9687;8288.35;8306.9
63;31;410.26;492.32;0.9517;6581.29;6675.61
203;31;410.0;488.22;-0.7609;3264.0;3452.65
155;31;409.84;632.33;0.9471;6952.87;6904.58
5;31;399.13;492.66;0.9458;5701.1;5805.71
99;17;395.59;572.92;0.2634;1861.76;1741.47
47;31;395.19;518.34;0.9687;8710.52;8841.9
40;31;391.84;549.06;0.9422;5132.77;5201.45
145;31;387.06;470.93;0.9087;5259.32;5376.97
125;31;384.65;601.27;0.929;4424.71;4400.39
137;31;374.0;486.18;0.9472;6198.77;6240.97
152;31;371.84;486.49;0.9291;5570.77;5733.65
402;31;369.16;465.43;0.8852;4518.06;4648.9
122;31;367.26;540.82;0.9592;5379.06;5269.94
42;31;363.58;499.51;0.9711;6354.77;6282.23
130;31;360.13;452.38;0.9705;8682.68;8674.42
18;31;359.55;432.68;0.9006;4960.19;5112.52
43;31;357.74;492.17;0.9623;6032.94;6036.81
11;31;357.68;542.17;0.9624;5794.29;5707.19
44;31;355.52;445.36;0.9751;8248.19;8385.77
167;31;355.32;429.94;0.6974;3955.94;4096.55
405;31;354.87;462.22;0.9595;6497.94;6473.58
73;31;350.87;492.39;0.9395;4958.32;5049.84
71;31;350.61;496.65;0.9545;5115.68;5136.1
3;31;349.55;509.42;0.9332;6699.65;6683.9
86;31;345.87;493.76;0.8961;4902.0;4975.81
210;31;340.35;474.92;0.9664;6126.74;6057.1
153;31;338.9;523.05;0.9434;4867.42;4801.42
64;31;338.84;429.1;0.9678;6103.94;6150.58
170;31;338.45;501.95;0.9387;3777.65;3685.84
139;31;337.19;437.9;0.9194;4390.32;4505.52
134;31;335.06;523.22;0.955;5306.32;5327.58
121;31;334.58;423.35;0.9654;6478.29;6535.39
174;31;334.03;493.21;0.951;4445.45;4395.23
52;31;333.71;435.13;0.9386;4406.19;4542.61
136;31;333.65;405.94;0.9493;6106.42;6180.0
62;31;331.77;534.43;0.9687;7270.87;7137.87
59;31;331.16;427.91;0.8332;4128.52;4219.94
15;31;330.94;400.45;0.6935;3510.84;3672.23
131;31;330.1;431.85;0.9507;6233.58;6339.03
455;20;329.6;417.19;-0.3042;1413.35;1302.85
149;31;323.77;422.68;0.9516;4713.48;4730.16
7;31;319.26;462.51;0.9326;3700.68;3698.77
161;31;316.45;458.16;0.9413;4468.23;4512.55
176;31;316.29;504.09;0.966;5382.48;5335.35
120;31;313.16;394.19;0.9588;4873.13;4902.1
36;31;304.45;409.62;0.9011;4497.0;4583.06
104;31;303.68;399.72;0.9334;3696.16;3709.97
111;31;294.39;378.45;0.9569;6123.58;6189.19
